EOD price,EOD date,Variations
39.64,2022-02-04T00:00:00+0000,0.021082
38.83,2022-02-03T00:00:00+0000,0.057097
36.73,2022-02-02T00:00:00+0000,0.025462
35.82,2022-02-01T00:00:00+0000,-0.008877
36.14,2022-01-31T00:00:00+0000,-0.017162
36.77,2022-01-28T00:00:00+0000,-0.025226
37.72,2022-01-27T00:00:00+0000,-0.003409
37.85,2022-01-26T00:00:00+0000,-0.033756
39.17,2022-01-25T00:00:00+0000,-0.005154
39.37,2022-01-24T00:00:00+0000,-0.019560
40.16,2022-01-21T00:00:00+0000,-0.024748
41.18,2022-01-20T00:00:00+0000,-0.010058
41.60,2022-01-19T00:00:00+0000,-0.017572
42.34,2022-01-18T00:00:00+0000,-0.007014
42.64,2022-01-17T00:00:00+0000,0.024971
41.60,2022-01-14T00:00:00+0000,0.000394
41.59,2022-01-13T00:00:00+0000,-0.011235
42.06,2022-01-12T00:00:00+0000,0.003724
41.90,2022-01-11T00:00:00+0000,-0.035878
43.46,2022-01-10T00:00:00+0000,-0.013525
44.06,2022-01-07T00:00:00+0000,0.019053
43.23,2022-01-06T00:00:00+0000,-0.011442
43.73,2022-01-05T00:00:00+0000,0.010409
43.28,2022-01-04T00:00:00+0000,-0.002645
43.40,2022-01-03T00:00:00+0000,0.000000
